id,date,store,item,sales
0,100000.0,2017-11-01,1.0,1.0,16.0
1,100001.0, 2017-11-02,1.0,1.0,21.0
2,100002.0, 2017-11-03,1.0,1.0,18.0
3,100003.0, 2017-11-04,1.0,1.0,34.0
4,100004.0, 2017-11-05,1.0,1.0,23.0
5,100005.0, 2017-11-06,1.0,1.0,17.0
6,100006.0, 2017-11-07,1.0,1.0,23.0
7,100007.0, 2017-11-08,1.0,1.0,14.0
8,100008.0, 2017-11-09,1.0,1.0,21.0
9,100009.0, 2017-11-10,1.0,1.0,19.0
10,100010.0, 2017-11-11,1.0,1.0,24.0
11,100011.0, 2017-11-12,1.0,1.0,27.0
12,100012.0, 2017-11-13,1.0,1.0,22.0
13,100013.0, 2017-11-14,1.0,1.0,16.0
14,100014.0, 2017-11-15,1.0,1.0,19.0
15,100015.0, 2017-11-16,1.0,1.0,22.0
16,100016.0, 2017-11-17,1.0,1.0,25.0
17,100017.0, 2017-11-18,1.0,1.0,31.0
18,100018.0, 2017-11-19,1.0,1.0,32.0
19,100019.0, 2017-11-20,1.0,1.0,21.0
20,100020.0, 2017-11-21,1.0,1.0,29.0
21,100021.0, 2017-11-22,1.0,1.0,27.0
22,100022.0, 2017-11-23,1.0,1.0,25.0
23,100023.0, 2017-11-24,1.0,1.0,22.0
24,100024.0, 2017-11-25,1.0,1.0,29.0
25,100025.0, 2017-11-26,1.0,1.0,24.0
26,100026.0, 2017-11-27,1.0,1.0,10.0
27,100027.0, 2017-11-28,1.0,1.0,14.0
28,100028.0, 2017-11-29,1.0,1.0,28.0
29,100029.0, 2017-11-30,1.0,1.0,15.0
30,100030.0, 2017-11-01,2.0,1.0,35.0
31,100031.0, 2017-11-02,2.0,1.0,35.0
32,100032.0, 2017-11-03,2.0,1.0,33.0
33,100033.0, 2017-11-04,2.0,1.0,46.0
34,100034.0, 2017-11-05,2.0,1.0,38.0
35,100035.0, 2017-11-06,2.0,1.0,28.0
36,100036.0, 2017-11-07,2.0,1.0,28.0
37,100037.0, 2017-11-08,2.0,1.0,29.0
38,100038.0, 2017-11-09,2.0,1.0,28.0
39,100039.0, 2017-11-10,2.0,1.0,32.0
40,100040.0, 2017-11-11,2.0,1.0,38.0
41,100041.0, 2017-11-12,2.0,1.0,33.0
42,100042.0, 2017-11-13,2.0,1.0,21.0
43,100043.0, 2017-11-14,2.0,1.0,32.0
44,100044.0, 2017-11-15,2.0,1.0,19.0
45,100045.0, 2017-11-16,2.0,1.0,28.0
46,100046.0, 2017-11-17,2.0,1.0,34.0
47,100047.0, 2017-11-18,2.0,1.0,45.0
48,100048.0, 2017-11-19,2.0,1.0,45.0
49,100049.0, 2017-11-20,2.0,1.0,27.0
50,100050.0, 2017-11-21,2.0,1.0,41.0
51,100051.0, 2017-11-22,2.0,1.0,33.0
52,100052.0, 2017-11-23,2.0,1.0,41.0
53,100053.0, 2017-11-24,2.0,1.0,38.0
54,100054.0, 2017-11-25,2.0,1.0,26.0
55,100055.0, 2017-11-26,2.0,1.0,44.0
56,100056.0, 2017-11-27,2.0,1.0,29.0
57,100057.0, 2017-11-28,2.0,1.0,36.0
58,100058.0, 2017-11-29,2.0,1.0,24.0
59,100059.0, 2017-11-30,2.0,1.0,31.0
60,100060.0, 2017-11-01,3.0,1.0,24.0
61,100061.0, 2017-11-02,3.0,1.0,29.0
62,100062.0, 2017-11-03,3.0,1.0,32.0
63,100063.0, 2017-11-04,3.0,1.0,41.0
64,100064.0, 2017-11-05,3.0,1.0,32.0
65,100065.0, 2017-11-06,3.0,1.0,22.0
66,100066.0, 2017-11-07,3.0,1.0,27.0
67,100067.0, 2017-11-08,3.0,1.0,31.0
68,100068.0, 2017-11-09,3.0,1.0,33.0
69,100069.0, 2017-11-10,3.0,1.0,23.0
70,100070.0, 2017-11-11,3.0,1.0,34.0
71,100071.0, 2017-11-12,3.0,1.0,27.0
72,100072.0, 2017-11-13,3.0,1.0,24.0
73,100073.0, 2017-11-14,3.0,1.0,26.0
74,100074.0, 2017-11-15,3.0,1.0,33.0
75,100075.0, 2017-11-16,3.0,1.0,27.0
76,100076.0, 2017-11-17,3.0,1.0,34.0
77,100077.0, 2017-11-18,3.0,1.0,30.0
78,100078.0, 2017-11-19,3.0,1.0,34.0
79,100079.0, 2017-11-20,3.0,1.0,33.0
80,100080.0, 2017-11-21,3.0,1.0,32.0
81,100081.0, 2017-11-22,3.0,1.0,27.0
82,100082.0, 2017-11-23,3.0,1.0,23.0
83,100083.0, 2017-11-24,3.0,1.0,31.0
